"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년(남)","1학년(여)","2학년(남)","2학년(여)","3학년(남)","3학년(여)","특수학급(남)","특수학급(여)","순회학급(남)","순회학급(여)","계(남)","계(여)","총계"
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001003","화원중학교","03","공립","N","","108","88","98","89","89","68","4","0","0","0","299","245","544"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 금천구","S010001165","가산중학교","03","공립","N","","83","73","64","70","67","55","7","4","0","0","221","202","423"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 구로구","S010001166","개봉중학교","03","공립","N","","57","67","50","69","69","64","2","1","0","0","178","201","379"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 구로구","S010001167","개웅중학교","03","공립","N","","75","66","86","68","88","97","0","0","0","0","249","231","480"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 구로구","S010001168","고척중학교","03","공립","N","","130","125","134","137","149","137","2","1","0","0","415","400","815"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 구로구","S010001169","구로중학교","03","공립","N","","79","61","60","61","61","63","4","2","0","0","204","187","391"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 구로구","S010001170","구일중학교","03","공립","N","","85","91","102","77","107","108","2","2","0","0","296","278","574"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 금천구","S010001171","난곡중학교","03","공립","N","","33","42","37","32","38","37","3","3","0","0","111","114","225"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 영등포구","S010001172","당산서중학교","03","공립","N","","57","68","97","62","96","88","0","0","0","0","250","218","468"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 영등포구","S010001173","당산중학교","03","공립","N","","68","65","72","85","75","67","2","4","0","0","217","221","438"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 영등포구","S010001174","대림중학교","03","공립","N","","70","78","69","75","73","81","3","2","0","0","215","236","451"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 영등포구","S010001175","대영중학교","03","공립","N","","103","105","93","98","116","93","4","2","0","0","316","298","614"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 금천구","S010001176","동일중학교","03","사립","N","","78","114","70","90","76","104","0","0","0","0","224","308","532"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 영등포구","S010001177","문래중학교","03","공립","N","","115","102","97","94","128","86","0","0","0","0","340","282","622"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 금천구","S010001178","문성중학교","03","공립","N","","31","45","37","36","37","33","2","2","0","0","107","116","223"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 금천구","S010001179","문일중학교","03","사립","N","","141","0","109","0","134","0","0","0","0","0","384","0","384"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 금천구","S010001180","세일중학교","03","공립","N","","59","41","64","55","51","48","3","2","0","0","177","146","323"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 금천구","S010001181","시흥중학교","03","공립","N","","56","129","36","121","42","118","13","6","0","0","147","374","521"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 구로구","S010001182","신도림중학교","03","공립","N","","176","169","169","166","186","184","3","1","0","0","534","520","1054"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 금천구","S010001183","안천중학교","03","공립","N","","84","77","70","72","74","75","5","1","0","0","233","225","458"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 영등포구","S010001184","선유중학교","03","공립","N","","57","70","69","33","65","58","1","3","0","0","192","164","356"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 영등포구","S010001185","양화중학교","03","공립","N","","93","98","93","106","113","100","4","3","0","0","303","307","610"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 영등포구","S010001186","여의도중학교","03","공립","N","","94","123","93","98","85","113","8","2","0","0","280","336","616"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 영등포구","S010001187","영남중학교","03","공립","N","","62","63","83","59","82","71","9","4","0","0","236","197","433"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 구로구","S010001188","영림중학교","03","공립","N","","92","85","69","92","96","91","1","0","0","0","258","268","526"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 구로구","S010001189","영서중학교","03","공립","N","","97","87","80","103","77","99","3","2","0","0","257","291","548"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 영등포구","S010001190","영원중학교","03","공립","N","","78","72","73","71","105","86","6","2","0","0","262","231","493"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 구로구","S010001191","오남중학교","03","공립","N","","61","124","53","130","67","136","4","3","0","0","185","393","578"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 구로구","S010001192","경인중학교","03","공립","N","","125","94","106","85","101","109","7","5","0","0","339","293","632"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 구로구","S010001193","오류중학교","03","공립","N","","60","45","54","47","54","56","5","0","0","0","173","148","321"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 구로구","S010001194","우신중학교","03","사립","N","","86","0","106","0","117","0","0","0","0","0","309","0","309"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 영등포구","S010001195","윤중중학교","03","공립","N","","106","89","67","56","69","65","0","0","0","0","242","210","452"
"서울특별시교육청","서울특별시남부교육지원청","서울특별시 금천구","S010001196","한울중학교","03","공립","N","","88","81","79","93","99","93","5","4","0","0","271","271","542"
